nanoplastics type,surface charge,nanoplastics shape,nanoplastics size(nm),nanoplastics dose(mg/g or mg/ml),adsorption of pollutant types,pollutant types,pollutants dose(mg/g or mg/ml),environmental media,photosynthetic organisms species,organisms category,organisms type,exposure time(day),Tem(¡æ),photosynthetic and biochemical indexes,index groups,nc,nt,avc,avt,sdc,sdt,study_id,year,effect_size,variance
PS,plain,sphere,207.3,0.02,non,non,0,freshwater,corn,Crops,C4,8,25,Pn,Simultaneous Effect,4,4,19.20845,5.38413,1.54607,0.54733,43,2025,-1.271412613,0.004207765
PS,aminonted,sphere,75,0.01,non,non,0,freshwater,Brassica rapa L.,Crops,C3,2.75,25,chlb,Light Reaction,3,3,1.17649,0.74135,0.10453,0.05105,49,2022,-0.462343249,0.004216701
PS,plain,sphere,80,0.001,BDE(decabromodiphenyl ether),Persistent Organic Pollutant (POP),0.0003,freshwater,Salvinia natans,Aquatic & Wetland Plants,C3,14,25,Total chl,Light Reaction,3,3,2.4,3.286,0.204,0.248,1,2024,-0.313947445,0.004311695
PS,plain,sphere,50,0.001,DBP(di-n-butyl phthalate),Endocrine Disrupting Compound (EDC),0.001,freshwater,corn,Crops,C4,4,20,chlb,Light Reaction,6,6,0.60023,0.81564,0.08808,0.05364,17,2022,-0.305226101,0.004316479
PMMA,aminonted,sphere,50,0.005,non,non,0,seawater,Skeletonema costatum,Algae & Microorganisms,Algae & Microorganisms,2,22,chla,Light Reaction,3,3,710.75433,685.33767,58.09521,54.46426,40,2024,-0.036476079,0.004336894
PS,plain,sphere,80,0.001,non,non,0,seawater,Chaetoceros gracilis,Algae & Microorganisms,Algae & Microorganisms,4,24,chla,Light Reaction,3,3,1.43485,1.49086,0.04018,0.16562,11,2025,0.040218967,0.004383564
PS,plain,sphere,50,0.00025,non,non,0,freshwater,Myriophyllum sp. ¡®Roraima¡¯,Aquatic & Wetland Plants,C3,7,25,chla,Light Reaction,3,3,997.10361,1050.77666,101.6306099,55.14839379,39,2024,0.051157766,0.004387547
PS,plain,sphere,50,0.001,DBP(di-n-butyl phthalate),Endocrine Disrupting Compound (EDC),0.001,freshwater,corn,Crops,C4,14,20,chla,Light Reaction,6,6,1.63998,2.37815,0.17938,0.28514,17,2022,-0.37183984,0.004394832
PS,aminonted,sphere,41.5,0.001,non,non,0,freshwater,Synechococcus sp.,Algae & Microorganisms,Algae & Microorganisms,4,,Fv/Fm,Light Reaction,5,5,0.22547,0.20108,0.019990448,0.024171895,42,2025,-0.113825302,0.00446768
PS,plain,sphere,87.8,0.001,non,non,0,freshwater,Triticum aestivum L.,Crops,C3,21,25,Ci,Calvin Cycle,4,4,313.82,336.55,23.14,37.52,12,2020,0.070801109,0.004472201
PS,plain,sphere,20,0.05,non,non,0,freshwater,Eichhornia crassipes,Aquatic & Wetland Plants,C3,2,23,Ci,Calvin Cycle,3,3,334.67939,320.47105,24.97224,28.41668,14,2023,-0.042998552,0.00448186
PS,plain,sphere,207.3,0.02,non,non,0,freshwater,corn,Crops,C4,8,25,Ci,Calvin Cycle,4,4,148.28968,57.19421,15.09016,4.99044,43,2025,-0.953057747,0.004497334
PS,plain,sphere,207.3,0.02,non,non,0,freshwater,corn,Crops,C4,8,25,Ci,Calvin Cycle,4,4,148.28968,57.19421,15.09016,4.99044,43,2025,-0.953057747,0.004497334
PS,plain,sphere,207.3,0.02,CSNPs(Chitosan nanoparticles),Nanoparticle,0.05,freshwater,corn,Crops,C4,8,25,Gs,Simultaneous Effect,4,4,0.15424,0.08349,0.01872,0.00498,43,2025,-0.615179546,0.00457927
PS,plain,sphere,100,0.005,TC(tetracycline),Antibiotic,0.01,freshwater,Chrysanthemum coronarium L.,Ornamental Plants,C3,7,25,rubisco activity,Calvin Cycle,3,3,35.4,79.3,3.15,6.06,13,2024,-0.806179947,0.004591309
PS,plain,sphere,80,0.005,PCB-52(polychlorinonted biphenyl-52),Persistent Organic Pollutant (POP),0.0001,freshwater,Spirodela polyrhiza,Aquatic & Wetland Plants,C3,10,25,chla,Light Reaction,3,3,5.66998,5.09124,0.427435498,0.457538541,26,2023,0.107265305,0.004591827
PS,aminonted,sphere,75,0.001,non,non,0,freshwater,Brassica rapa L.,Crops,C3,2.75,25,carotenoids,Light Reaction,3,3,1.3021,0.88154,0.0474,0.09845,49,2022,-0.388205386,0.004607901
PS,plain,sphere,20,0.05,non,non,0,freshwater,Chlorella pyrenoidosa,Algae & Microorganisms,Algae & Microorganisms,7,25,carotenoids,Light Reaction,3,3,0.57533,0.70988,0.05907,0.04102,45,2025,0.208951752,0.004633619
PS,plain,sphere,80,1,non,non,0,seawater,Chaetoceros gracilis,Algae & Microorganisms,Algae & Microorganisms,4,24,chla,Light Reaction,3,3,1.42984,1.48816,0.04436,0.16921,11,2025,0.041972261,0.004639723
PS,plain,sphere,100,0.01,DBP(di-n-butyl phthalate),Endocrine Disrupting Compound (EDC),0.05,freshwater,dandelion,Miscellaneous Plants,C3,14,25,Gs,Simultaneous Effect,3,3,87.5,68.33,5.36,6.92,35,2023,-0.246205913,0.004676195
